CT2010	BuiltFAR	ResidFAR	CommFAR
222	6	7.52	6
200	0.61	4	4
222	1.63	4	0
220	2.26	3.44	0
200	2.3	3.44	0
220	1.82	4	0
222	0	3.44	0
220	1.55	4	0
220	1.79	3.44	0
222	1.98	7.52	6
220	2.33	3.44	0
222	1.3	7.52	6
222	2.08	6.02	0
220	2.22	3.44	0
200	1.96	7.52	6
220	3.43	3.44	0
222	4.5	4	4
220	1.63	3.44	0
200	0	3	0
222	1.7	3.44	0
222	2.37	3.44	0
220	1.63	3.44	0
200	0	3.44	0
200	1.54	3.44	0
220	1	3.44	0
200	3.39	7.52	6
222	3.33	6	0
220	3.74	4	0
220	1.58	4	0
220	3.82	3.44	0
220	2.88	3.44	0
222	5.92	6.02	3.4
222	2.18	4	0
220	2.48	3.44	0
200	1.75	10	10
222	3.47	3.44	3.4
220	1.79	3.44	0
220	3.04	3.44	0
222	3.79	3.44	3.4
220	4.29	3.44	0
220	3.98	4	0
220	2.22	3.44	0
220	1.55	3.44	0
220	2.25	3.44	0
200	3.24	3.44	0
222	0	3.44	0
200	1.53	3	0
222	1.98	3.44	0
200	0	3	0
200	4.34	10	10
222	3.07	4	0
220	1.66	3.44	0
222	3.81	3.44	0
200	2.32	3.44	0
220	3.98	4	0
200	2.57	7.52	6
220	0	4	0
200	3.17	3.44	0
222	2.38	3.44	0
222	0.09	6.02	3.4
220	2.75	3.44	0
222	1.72	3.44	0
220	3.74	4	0
200	1.66	3.44	0
222	3.2	3.44	0
220	2.52	3.44	0
222	0.94	7.52	6
220	2.5	3.44	0
200	2.39	3.44	0
222	0.89	7.52	6
222	1.65	3.44	0
222	1.64	4	0
200	2.8	3.44	0
220	2.4	3.44	0
220	0	4	0
220	1.56	3.44	0
220	2.59	3.44	0
220	2.42	3.44	0
200	2.67	3.44	0
220	3.2	3.44	0
220	3.98	4	0
220	4.58	3.44	0
220	2.06	3.44	0
220	1.86	3.44	0
222	3.78	3.44	3.4
200	3.08	3.44	0
200	2.18	3.44	0
222	2.38	3.44	0
222	3.33	4	0
220	6.78	3.44	0
200	1.66	3.44	0
220	1.61	3.44	0
220	4.53	3.44	0
220	3.63	4	0
200	2.31	3.44	0
220	3.6	4	0
222	1.54	4	0
222	2.7	10	10
222	2.38	3.44	0
222	1.32	3.44	3.4
220	2.75	3.44	0
220	2.11	3.44	0
220	3.01	3.44	0
220	2.59	3.44	0
222	1.75	3.44	3.4
222	4.17	7.52	6
222	2.75	3.44	0
220	1.82	4	0
222	3.47	3.44	0
200	3.02	3.44	0
220	2.11	3.44	0
220	4.22	3.44	0
220	2.65	4	0
200	3.3	3.44	0
222	3.14	7.52	6
222	3.43	3.44	0
222	1.49	4	0
220	1.45	4	0
220	2.63	3.44	0
200	2.32	3.44	0
220	2.18	3.44	0
220	3.5	3.44	0
200	3.59	3.44	0
222	1.75	3.44	0
222	3.75	3.44	0
200	2.68	3.44	0
200	5.34	10	10
200	2.32	3.44	0
200	2.25	3.44	0
220	1.86	3.44	0
222	2.19	7.52	6
220	1.81	3.44	0
